"","X","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score"
"6782",6781,26,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",34.41,9116.83,"22.0",701.86,"No","Yes","No","Not Applicable","Poor Product Quality",1
"6785",6784,58,"F","Village","No Membership","Yes","Without Offers","Both","Fiber_Optic",537.15,36055.07,"10.0",584.83,"No","Yes","No","Not Applicable","No reason specified",1
"6786",6785,12,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",463.6,18274.99,"12.0",248.316218767807,"Yes","No","No","Not Applicable","No reason specified",1
"6788",6787,14,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",1388.22347364691,23984.31,"3.0",712.96,"Yes","No","No","Not Applicable","Reasonable Price",0
"6789",6788,45,"F","Village","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",63.88,7949.44,"18.0",757.07,"No","Yes","Yes","No Information Available","No reason specified",0
"6793",6792,53,"M","City","No Membership","No","Without Offers","Both","Fiber_Optic",492.28,24868.86,"Error",574.03,"Yes","Yes","Yes","Solved","Poor Product Quality",1
"6795",6794,58,"F","City","Silver Membership","No","Without Offers","Desktop","Mobile_Data",93.11,37613.48,"27.0",224.609212248852,"Yes","No","No","Not Applicable","Poor Website",1
"6799",6798,27,"F","Village","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",140.13,62683.54,"8.0",779.14,"Yes","No","Yes","Unsolved","Reasonable Price",0
"6800",6799,57,"F","City","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",69.31,46946.46,"6.0",631.49,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service",1
"6801",6800,37,"M","City","Gold Membership","No","Without Offers","Smartphone","Fiber_Optic",1262.39016634372,46788.53,"28.0",670.16,"No","Yes","Yes","No Information Available","Poor Website",1
"6804",6803,62,"F","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",182.4,26434.1,"17.0",624.33,"No","Yes","No","Not Applicable","No reason specified",1
"6806",6805,16,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",385.39,43044.72,"12.0",773.2,"Yes","No","Yes","Unsolved","Products always in Stock",0
"6807",6806,55,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",666.05,36361.69,"12.0",718.38,"No","Yes","No","Not Applicable","No reason specified",1
"6809",6808,64,"M","Town","Platinum Membership","Yes","Without Offers","Desktop","Wi-Fi",689.81,83315.29,"15.0",794.63,"Yes","No","No","Not Applicable","Reasonable Price",0
"6811",6810,43,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",362.3,33364.02,"19.0",696.23,"Yes","No","Yes","Solved in Follow-up","Poor Website",1
"6812",6811,39,"M","City","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",46.95,12410.02,"26.0",764.93,"Yes","No","Yes","Unsolved","No reason specified",0
"6816",6815,31,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",30.25,36595.76,"17.0",697.45,"No","Yes","Yes","Unsolved","Too many ads",1
"6817",6816,62,"F","Town","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",-359.832712603376,10214.71,"7.0",685.45,"Yes","No","No","Not Applicable","Poor Product Quality",1
"6818",6817,45,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",123.48,32856.88,"-5.829151927864757",610.18,"No","Yes","Yes","No Information Available","Poor Website",1
"6820",6819,29,"M","City","Platinum Membership","Yes","Without Offers","Smartphone","Fiber_Optic",240.88,28999.12,"8.0",809.53,"No","Yes","Yes","Solved","Reasonable Price",0
"6821",6820,26,"M","City","Platinum Membership","Yes","Without Offers","Both","Mobile_Data",1029.73,37560.24,"5.0",718.78,"Yes","Yes","No","Not Applicable","User Friendly Website",0
"6823",6822,43,"M","Village","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",1199.22025002715,19188.07,"15.0",579.72,"No","Yes","No","Not Applicable","Poor Product Quality",1
"6824",6823,31,"F","Village","Basic Membership","Yes","Without Offers","Desktop","Mobile_Data",31.21,28688.16,"8.0",1013.331893046,"Yes","No","No","Not Applicable","Poor Customer Service",1
"6825",6824,62,"M","City","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",97.88,26663.82,"26.0",550.93,"No","Yes","No","Not Applicable","No reason specified",1
"6827",6826,21,"M","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",137.34,38981.07,"27.0",1141.37014345399,"Yes","No","No","Not Applicable","Too many ads",1
"6832",6831,17,"M","Town","No Membership","Yes","Without Offers","Desktop","Fiber_Optic",-921.801362372404,25930.42,"Error",648.31,"Yes","No","Yes","Solved","Poor Website",1
"6834",6833,33,"M","Village","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",890.75,27052.78,"27.0",511.63,"Yes","Yes","Yes","No Information Available","No reason specified",1
"6835",6834,57,"M","City","No Membership","Yes","Without Offers","Desktop","Wi-Fi",89.29,16048.1,"6.0",537.44,"No","Yes","No","Not Applicable","Poor Customer Service",1
"6836",6835,44,"M","Town","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",62.17,18457.99,"7.0",271.149887424808,"Yes","No","No","Not Applicable","Quality Customer Care",0
"6837",6836,64,"M","Village","Platinum Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",187.61,9338.19,"19.0",804.69,"Yes","No","No","Not Applicable","Products always in Stock",0
"6838",6837,24,"F","Town","Platinum Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",181.14,47816.31,"Error",792.99,"No","Yes","No","Not Applicable","No reason specified",0
"6839",6838,51,"F","Town","Basic Membership","No","Without Offers","Desktop","Wi-Fi",50.64,11927.65,"7.0",635.47,"No","Yes","No","Not Applicable","Too many ads",1
"6840",6839,29,"F","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",344.92,32584.72,"12.0",650.59,"No","Yes","Yes","Solved in Follow-up","No reason specified",1
"6841",6840,57,"M","City","No Membership","No","Without Offers","Both","Fiber_Optic",279.28,45987.77,"18.0",600.19,"No","Yes","No","Not Applicable","No reason specified",0
"6842",6841,63,"M","City","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",94.74,6179.73,"7.0",608.14,"No","Yes","Yes","No Information Available","Poor Product Quality",1
"6845",6844,61,"M","Town","Platinum Membership","No","Without Offers","Desktop","Fiber_Optic",147.6,44537.42,"-5.990044826387546",786.22,"Yes","No","No","Not Applicable","Reasonable Price",0
"6846",6845,33,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",240.15,6129.48,"13.0",999.35559016933,"No","Yes","Yes","No Information Available","Too many ads",0
"6848",6847,51,"F","City","No Membership","Yes","Without Offers","Desktop","Fiber_Optic",86.55,943.2,"26.0",623.73,"Yes","No","No","Not Applicable","No reason specified",1
"6849",6848,32,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",32.25,23394.24,"13.0",-132.167595196353,"No","Yes","Yes","Solved","No reason specified",0
"6850",6849,30,"F","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",64.7,36789.1,"19.0",741.49,"Yes","No","No","Not Applicable","Poor Customer Service",0
"6851",6850,61,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",372.54,46045.62,"24.0",672.49,"Yes","No","No","Not Applicable","Poor Product Quality",1
"6852",6851,10,"M","City","Gold Membership","Yes","Without Offers","Smartphone","Mobile_Data",165.4,40822.99,"12.0",632.34,"No","Yes","Yes","Solved","Poor Website",1
"6853",6852,32,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",85.59,31081.98,"22.0",582.66,"No","Yes","Yes","Unsolved","Too many ads",1
"6854",6853,59,"F","City","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",111.23,24174.43,"14.0",715.42,"No","Yes","Yes","No Information Available","Too many ads",1
"6855",6854,11,"F","Village","Basic Membership","No","Without Offers","Desktop","Wi-Fi",-845.14527262568,27822.88,"5.0",256.338001741706,"Yes","No","No","Not Applicable","Poor Website",1
"6858",6857,16,"F","Village","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",343.64,6780.14,"5.0",591.43,"Yes","No","Yes","No Information Available","Too many ads",1
"6860",6859,39,"M","Town","No Membership","No","Without Offers","Desktop","Fiber_Optic",257.17,18511.82,"-1.7813825269388595",522.91,"Yes","No","No","Not Applicable","Poor Website",1
"6864",6863,12,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",111.59,35258.39,"28.0",799.36,"Yes","No","Yes","Solved","Poor Customer Service",0
"6865",6864,23,"M","Village","No Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",34.74,12739.08,"13.0",940.360096407909,"Yes","No","No","Not Applicable","Poor Product Quality",1
"6866",6865,17,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",706.04,16295.84,"16.0",605.14,"Yes","No","No","Not Applicable","Poor Website",1
"6867",6866,10,"F","City","Platinum Membership","No","Without Offers","Smartphone","Wi-Fi",30.78,36541.7,"29.0",1161.31087812796,"Yes","No","Yes","No Information Available","Poor Website",0
"6868",6867,29,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",-543.42263389059,1867.03,"Error",607.69,"No","Yes","No","Not Applicable","Poor Customer Service",1
"6870",6869,37,"F","Village","Platinum Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",314.63,12655.38,"1.0",847.55,"Yes","No","Yes","No Information Available","User Friendly Website",0
"6871",6870,56,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",284.86,35569.56,"16.0",632.96,"Yes","Yes","No","Not Applicable","Too many ads",1
"6873",6872,47,"F","Town","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",619.88,31642.82,"25.0",264.204496871058,"Yes","Yes","Yes","Unsolved","Too many ads",1
"6876",6875,64,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",205.01,20988.85,"17.0",715.54,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service",1
"6877",6876,36,"F","City","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",246.9,38643.9,"7.0",678.36,"Yes","No","No","Not Applicable","No reason specified",1
"6879",6878,36,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",41.21,6893.07,"17.0",519.28,"Yes","No","Yes","Unsolved","No reason specified",1
"6882",6881,38,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",165.89,17176.69,"24.0",657.64,"No","Yes","No","Not Applicable","Poor Website",1
"6884",6883,45,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",137.63,20710.57,"15.0",579.77,"Yes","No","No","Not Applicable","Too many ads",1
"6885",6884,46,"F","City","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",75.04,30734.32,"26.0",738.28,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality",0
"6886",6885,10,"F","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",32.06,17534.58,"27.0",707.78,"Yes","No","Yes","No Information Available","Poor Customer Service",0
"6887",6886,40,"F","Town","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",815.797388557181,80105.31,"Error",785.79,"No","Yes","Yes","Solved in Follow-up","Products always in Stock",0
"6888",6887,42,"F","Town","Platinum Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",44.23,11292.34,"15.0",773.62,"Yes","No","No","Not Applicable","Poor Product Quality",0
"6890",6889,37,"F","City","Basic Membership","Yes","Without Offers","Desktop","Mobile_Data",950.65,44099.27,"21.0",662.74,"Yes","No","Yes","Solved in Follow-up","No reason specified",1
"6894",6893,58,"F","City","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",166.31,24300.97,"14.0",795.85,"Yes","No","No","Not Applicable","Poor Website",0
"6897",6896,36,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",32.87,8636.65,"25.0",763.77,"Yes","No","No","Not Applicable","No reason specified",0
"6898",6897,30,"M","City","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",1465.96468743448,45422.28,"21.0",895.280603601537,"No","Yes","No","Not Applicable","No reason specified",1
"6899",6898,41,"M","City","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",55.08,17401.04,"13.0",586.26,"No","Yes","No","Not Applicable","Too many ads",1
"6900",6899,26,"F","Village","Silver Membership","Yes","Without Offers","Smartphone","Mobile_Data",-864.671362246694,17920.31,"7.0",751.19,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality",0
"6901",6900,23,"M","Town","Basic Membership","No","Without Offers","Desktop","Fiber_Optic",333.04,43293.79,"19.0",677.86,"Yes","No","No","Not Applicable","Poor Customer Service",1
"6902",6901,25,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",1036.38629638346,31228.93,"Error",799.5,"Yes","No","No","Not Applicable","Poor Product Quality",0
"6906",6905,14,"F","City","Basic Membership","No","Without Offers","Desktop","Mobile_Data",263.73,29901.92,"-9.618914458579656",656.35,"No","Yes","Yes","Solved in Follow-up","Poor Website",1
"6907",6906,56,"M","City","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",-1062.28268030575,23248.2,"Error",656.42,"Yes","No","Yes","No Information Available","Poor Customer Service",1
"6908",6907,16,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",406.48,37539.62,"8.0",939.212330203228,"Yes","No","No","Not Applicable","Too many ads",1
"6909",6908,57,"F","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",100.51,18294.93,"5.0",235.328327136632,"Yes","No","No","Not Applicable","Poor Website",1
"6911",6910,23,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",265.22,26616.27,"10.0",659.7,"No","Yes","No","Not Applicable","Poor Customer Service",0
"6914",6913,14,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",328.86,11940.92,"29.0",728.74,"Yes","No","No","Not Applicable","Poor Product Quality",0
"6917",6916,50,"M","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",32.81,31619,"1.0",787.82,"Yes","No","No","Not Applicable","User Friendly Website",0
"6918",6917,20,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",311.01,8189.03,"18.0",714.02,"No","Yes","No","Not Applicable","Poor Product Quality",0
"6919",6918,24,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",74.32,21659.89,"16.0",704.4,"No","Yes","No","Not Applicable","Poor Customer Service",1
"6920",6919,23,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",356.36,23031.85,"19.0",799.29,"No","Yes","No","Not Applicable","Poor Product Quality",0
"6921",6920,59,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",238.02,16817.38,"19.0",719.35,"No","Yes","No","Not Applicable","Too many ads",1
"6922",6921,49,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",31.25,18485.35,"22.0",718.01,"No","Yes","Yes","Unsolved","No reason specified",1
"6925",6924,23,"F","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",545.47,47684.98,"20.0",532.2,"Yes","Yes","Yes","Solved","Poor Website",1
"6926",6925,14,"F","Village","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",33.78,2643.75,"Error",732.56,"Yes","No","No","Not Applicable","No reason specified",0
"6927",6926,44,"M","Town","Silver Membership","Yes","Without Offers","Desktop","Mobile_Data",241.85,25658.69,"28.0",1050.14686722181,"Yes","Yes","Yes","Solved","No reason specified",0
"6928",6927,17,"F","Village","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",837.56,7967.86,"15.0",283.501716659579,"Yes","Yes","No","Not Applicable","Poor Website",1
"6929",6928,63,"F","City","Premium Membership","Yes","Without Offers","Smartphone","Wi-Fi",30.44,24818.89,"11.0",1105.94941293712,"Yes","No","Yes","Solved in Follow-up","Poor Website",0
"6930",6929,48,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",202.1,44295.3,"39.65910349658018",510.84,"No","Yes","Yes","No Information Available","No reason specified",1
"6932",6931,19,"F","City","No Membership","No","Without Offers","Desktop","Mobile_Data",49.22,41161.98,"Error",578.03,"No","Yes","Yes","No Information Available","No reason specified",1
"6933",6932,64,"F","Town","No Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",250.47,47350.2,"19.0",590.97,"No","Yes","No","Not Applicable","Poor Product Quality",0
"6935",6934,40,"M","Village","Gold Membership","Yes","Without Offers","Smartphone","Mobile_Data",78.51,7196.73,"21.0",716.83,"Yes","No","Yes","Unsolved","Poor Website",0
"6936",6935,41,"M","Village","Gold Membership","Yes","Without Offers","Desktop","Wi-Fi",526.33,13475.27,"24.0",658.18,"No","Yes","Yes","No Information Available","Poor Product Quality",1
"6937",6936,61,"M","City","No Membership","No","Without Offers","Desktop","Mobile_Data",1115.29280072273,38546.76,"19.0",549.18,"No","Yes","No","Not Applicable","Poor Customer Service",1
"6941",6940,36,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",182.69,42181.82,"Error",750.3,"Yes","No","Yes","Solved","No reason specified",0
"6943",6942,46,"F","Village","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",267.67,92782.34,"12.0",801.73,"Yes","No","No","Not Applicable","User Friendly Website",0
"6944",6943,58,"M","City","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",1207.39714091328,33504.27,"13.0",661.25,"Yes","No","No","Not Applicable","Too many ads",1
"6946",6945,43,"F","Town","Silver Membership","Yes","Without Offers","Smartphone","Fiber_Optic",570.41,12563.79,"Error",670.4,"No","Yes","No","Not Applicable","Poor Product Quality",1
"6947",6946,22,"F","Town","Gold Membership","Yes","Without Offers","Both","Fiber_Optic",508.78,14021.55,"15.0",710.35,"No","Yes","No","Not Applicable","Poor Product Quality",1
"6948",6947,46,"M","Village","Premium Membership","No","Without Offers","Desktop","Mobile_Data",207.65,9091.97,"25.0",398.593709065021,"Yes","No","Yes","No Information Available","Poor Website",0
"6952",6951,45,"F","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",302.35,4991.16,"16.0",718.51,"Yes","No","Yes","Solved","Poor Product Quality",0
"6954",6953,58,"M","Town","Silver Membership","No","Without Offers","Smartphone","Wi-Fi",395.67,47739.16,"27.0",775.48,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality",0
"6956",6955,27,"M","Town","Premium Membership","Yes","Without Offers","Smartphone","Mobile_Data",43.98,43678.67,"19.0",745.22,"Yes","No","No","Not Applicable","Too many ads",0
"6959",6958,55,"M","Town","Basic Membership","No","Without Offers","Desktop","Wi-Fi",339.58,22506.3,"-7.537387377734817",602.52,"Yes","Yes","Yes","Solved in Follow-up","Poor Product Quality",1
"6960",6959,51,"M","Town","Gold Membership","Yes","Without Offers","Smartphone","Wi-Fi",34.68,10042.4,"11.0",685.47,"Yes","No","No","Not Applicable","Too many ads",1
"6961",6960,37,"F","City","Silver Membership","Yes","Without Offers","Smartphone","Mobile_Data",90.15,34624.2,"11.0",669.9,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service",1
"6964",6963,41,"F","Town","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",634.16,34868.37,"27.0",607.41,"Yes","Yes","Yes","Solved","Poor Website",1
"6965",6964,54,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",157.72,42816.56,"46.46931571773204",665.32,"Yes","No","Yes","Solved","Poor Product Quality",1
"6966",6965,39,"M","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",142.56,69944.24,"18.0",836.26,"No","Yes","No","Not Applicable","User Friendly Website",0
"6968",6967,42,"M","Village","Platinum Membership","No","Without Offers","Smartphone","Wi-Fi",39,69266.18,"6.0",784.78,"Yes","No","Yes","Solved in Follow-up","Quality Customer Care",0
"6969",6968,49,"M","City","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",243.58,42784.18,"20.0",675.24,"Yes","No","No","Not Applicable","No reason specified",1
"6970",6969,22,"M","City","Silver Membership","Yes","Without Offers","Desktop","Fiber_Optic",502.99,30712.68,"9.0",760.77,"Yes","Yes","Yes","Solved in Follow-up","Poor Website",0
"6978",6977,59,"F","Village","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",97.6,48239.16,"5.0",755.22,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality",0
"6979",6978,14,"F","Town","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",895.188713265747,93333.77,"18.0",1033.38860139858,"No","Yes","No","Not Applicable","Reasonable Price",0
"6980",6979,52,"F","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",287.11,87435.78,"6.0",1087.19243563233,"No","Yes","No","Not Applicable","Reasonable Price",0
"6985",6984,37,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",395.43,2070.76,"13.0",1158.1392232456,"Yes","No","Yes","No Information Available","Poor Website",0
"6990",6989,10,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",170.97,28895.15,"0.6717842618258558",744.98,"Yes","No","No","Not Applicable","Poor Website",0
"6991",6990,27,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",733.09,35999.8,"29.0",682.49,"Yes","Yes","Yes","Unsolved","Too many ads",1
"6994",6993,63,"F","Village","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",97.85,11812.5,"21.0",750.63,"Yes","No","Yes","Solved","Poor Product Quality",0
"6995",6994,64,"M","City","No Membership","No","Without Offers","Smartphone","Wi-Fi",101.3,49818.83,"13.0",894.099178996671,"Yes","No","No","Not Applicable","No reason specified",1
"6996",6995,11,"M","Town","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",146.815729706608,26897.74,"9.0",650.81,"Yes","No","No","Not Applicable","No reason specified",1
"6997",6996,27,"M","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",-685.825517165215,24701.52,"14.0",505.96,"No","Yes","No","Not Applicable","No reason specified",1
"7000",6999,43,"M","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",36.23,19243.32,"9.0",620.01,"No","Yes","No","Not Applicable","Too many ads",1
"7001",7000,53,"M","City","Basic Membership","No","Without Offers","Desktop","Mobile_Data",34.33,2292.19,"11.0",519.24,"No","Yes","Yes","No Information Available","Poor Product Quality",1
"7002",7001,52,"M","Village","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",1430.2262443708,21594.1,"21.0",739.72,"Yes","Yes","No","Not Applicable","Poor Website",0
"7005",7004,62,"F","Town","No Membership","Yes","Without Offers","Desktop","Fiber_Optic",913.855998746415,14141.45,"Error",699.48,"No","Yes","Yes","Solved","Too many ads",1
"7006",7005,29,"M","City","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",583.46,49676.78,"21.0",531.03,"Yes","Yes","No","Not Applicable","No reason specified",1
"7008",7007,56,"F","Town","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",31.94,37799.31,"28.0",755.21,"Yes","No","No","Not Applicable","Poor Product Quality",0
"7011",7010,10,"F","City","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",57.56,50104.37,"1.0",735.76,"Yes","No","Yes","Solved","Quality Customer Care",0
"7013",7012,47,"M","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",-949.790038896766,12809.48,"Error",633.54,"Yes","No","No","Not Applicable","Poor Customer Service",1
"7016",7015,13,"F","Village","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",-925.09769875198,22968.26,"8.0",1003.26623971366,"Yes","No","Yes","Solved in Follow-up","Too many ads",0
"7022",7021,36,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",32.29,21387.74,"26.0",806.076246095893,"Yes","No","Yes","No Information Available","No reason specified",1
"7024",7023,56,"F","Village","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",97.19,22380.65,"21.0",752.01,"Yes","No","Yes","Solved in Follow-up","No reason specified",0
"7025",7024,26,"F","Town","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",53.06,2583.75,"27.0",652.81,"No","Yes","No","Not Applicable","No reason specified",1
"7026",7025,52,"M","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",911.874319901933,12285.21,"27.0",621.03,"No","Yes","Yes","Unsolved","Poor Product Quality",1
"7030",7029,26,"F","Village","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",53.71,26784.24,"23.0",596.28,"Yes","No","No","Not Applicable","No reason specified",1
"7031",7030,32,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",33.19,16709.36,"21.0",983.15455001443,"No","Yes","No","Not Applicable","Poor Product Quality",1
"7032",7031,40,"F","City","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",508.7,45150.96,"28.0",595.61,"No","Yes","No","Not Applicable","Too many ads",1
"7035",7034,11,"F","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",216.97,3366.89,"27.0",706.23,"Yes","Yes","Yes","Solved","Poor Product Quality",1
"7037",7036,11,"F","Town","Premium Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",215.56,26795.08,"19.0",766.74,"Yes","Yes","Yes","Solved in Follow-up","Products always in Stock",0
"7039",7038,31,"M","Town","No Membership","No","Without Offers","Smartphone","Fiber_Optic",34.71,15849.3,"7.0",580.19,"Yes","No","No","Not Applicable","Too many ads",1
"7041",7040,61,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",50.79,32987.62,"21.0",665.29,"Yes","No","No","Not Applicable","Poor Customer Service",1
"7044",7043,25,"F","City","No Membership","No","Without Offers","Smartphone","Fiber_Optic",378.47,27905.85,"11.0",698.13,"No","Yes","No","Not Applicable","Poor Customer Service",1
"7045",7044,60,"M","Town","No Membership","No","Without Offers","Desktop","Wi-Fi",414.08,44073.43,"23.0",1125.40781430644,"No","Yes","No","Not Applicable","No reason specified",1
"7046",7045,11,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",223.07,2912.21,"10.0",703.04,"Yes","Yes","Yes","Solved in Follow-up","No reason specified",1
